scenario,input,unit,value,is_assumption,source
base,setup_fee_usd,usd,150,TRUE,"Price test during external pilots (#24): offer price to 3+ prospects per deployment type, record accept/reject"
base,support_subscription_usd_per_month,usd_per_month,25,TRUE,"Pilot willingness-to-pay question for ongoing support"
base,subscription_attach_rate,ratio,0.40,TRUE,"Measured as subscribed / total completed setups once >=10 setups have run"
base,preflight_time_hours,hours,0.5,TRUE,"Timestamp delta in OMES log file: omes check start to end"
base,install_time_hours,hours,1.5,TRUE,"Timestamp delta in OMES log file: omes install start to completion/exit"
base,troubleshooting_time_hours,hours,1.0,TRUE,"Operator worksheet: manual-intervention time outside the timed CLI run"
base,hourly_labor_cost_usd,usd_per_hour,20,TRUE,"Owner's opportunity-cost rate; revisit once a paid contractor delivers a setup"
base,infra_cost_usd_per_month,usd_per_month,3,TRUE,"OMES-side monitoring/backup cost for subscribed (Assisted+) deployments only"
base,support_hours_per_deployment_per_month,hours_per_deployment_per_month,0.5,TRUE,"Total monthly support hours / active subscribed deployments that month"
base,cac_usd,usd,40,TRUE,"Time spent on outreach/sales x hourly_labor_cost_usd, tracked per closed deal"
base,fixed_monthly_overhead_usd,usd_per_month,200,TRUE,"Sum of recurring non-deployment costs (CI, domain, own Hermes hosting, misc tools)"
upside,setup_fee_usd,usd,200,TRUE,"Price test during external pilots (#24): higher accepted price once product matures"
upside,support_subscription_usd_per_month,usd_per_month,35,TRUE,"Pilot willingness-to-pay question for ongoing support (upside case)"
upside,subscription_attach_rate,ratio,0.60,TRUE,"Measured attach rate under strong word-of-mouth/referrals"
upside,preflight_time_hours,hours,0.4,TRUE,"Timestamp delta in OMES log file, after preflight tuning"
upside,install_time_hours,hours,1.0,TRUE,"Timestamp delta in OMES log file, after install-path optimization"
upside,troubleshooting_time_hours,hours,0.5,TRUE,"Operator worksheet, after docs/product maturity reduces interventions"
upside,hourly_labor_cost_usd,usd_per_hour,20,TRUE,"Owner's opportunity-cost rate (unchanged from base)"
upside,infra_cost_usd_per_month,usd_per_month,3,TRUE,"OMES-side monitoring/backup cost, unchanged from base"
upside,support_hours_per_deployment_per_month,hours_per_deployment_per_month,0.4,TRUE,"Total monthly support hours / active subscribed deployments (upside case)"
upside,cac_usd,usd,30,TRUE,"Lower acquisition cost from word-of-mouth/referrals"
upside,fixed_monthly_overhead_usd,usd_per_month,200,TRUE,"Sum of recurring non-deployment costs (unchanged from base)"
downside,setup_fee_usd,usd,120,TRUE,"Price test during external pilots (#24): lower accepted price under price resistance"
downside,support_subscription_usd_per_month,usd_per_month,20,TRUE,"Pilot willingness-to-pay question for ongoing support (downside case)"
downside,subscription_attach_rate,ratio,0.25,TRUE,"Measured attach rate under weak conversion"
downside,preflight_time_hours,hours,0.6,TRUE,"Timestamp delta in OMES log file, harder environments"
downside,install_time_hours,hours,2.0,TRUE,"Timestamp delta in OMES log file, harder environments"
downside,troubleshooting_time_hours,hours,2.0,TRUE,"Operator worksheet, more manual intervention needed"
downside,hourly_labor_cost_usd,usd_per_hour,20,TRUE,"Owner's opportunity-cost rate (unchanged from base)"
downside,infra_cost_usd_per_month,usd_per_month,4,TRUE,"OMES-side monitoring/backup cost, slightly higher"
downside,support_hours_per_deployment_per_month,hours_per_deployment_per_month,0.8,TRUE,"Total monthly support hours / active subscribed deployments (downside case)"
downside,cac_usd,usd,60,TRUE,"Higher acquisition cost under harder sales conditions"
downside,fixed_monthly_overhead_usd,usd_per_month,200,TRUE,"Sum of recurring non-deployment costs (unchanged from base)"
stress,setup_fee_usd,usd,0,TRUE,"Waived setup fee, e.g. free pilot conversion attempt"
stress,support_subscription_usd_per_month,usd_per_month,15,TRUE,"Pilot willingness-to-pay question for ongoing support (stress case)"
stress,subscription_attach_rate,ratio,0.10,TRUE,"Measured attach rate under minimal conversion"
stress,preflight_time_hours,hours,1.0,TRUE,"Timestamp delta in OMES log file, worst-case environment"
stress,install_time_hours,hours,3.0,TRUE,"Timestamp delta in OMES log file, worst-case environment"
stress,troubleshooting_time_hours,hours,4.0,TRUE,"Operator worksheet, heavy manual intervention"
stress,hourly_labor_cost_usd,usd_per_hour,25,TRUE,"Contractor premium after owner's own time is exhausted"
stress,infra_cost_usd_per_month,usd_per_month,5,TRUE,"OMES-side monitoring/backup cost, elevated"
stress,support_hours_per_deployment_per_month,hours_per_deployment_per_month,1.5,TRUE,"Total monthly support hours / active subscribed deployments (stress case)"
stress,cac_usd,usd,80,TRUE,"Highest acquisition cost under difficult sales conditions"
stress,fixed_monthly_overhead_usd,usd_per_month,250,TRUE,"Sum of recurring non-deployment costs, elevated"
